iter	Passed	Remaining
1348	58636	71763
1349	58674	71713
1350	58721	71674
1351	58773	71640
1352	58824	71607
1353	58875	71572
1354	58928	71540
1355	58979	71505
1356	59029	71470
1357	59085	71442
1358	59129	71398
1359	59176	71360
1360	59217	71313
1361	59265	71275
1362	59311	71235
1363	59348	71183
1364	59389	71137
1365	59433	71094
1366	59478	71051
1367	59518	71004
1368	59565	70964
1369	59608	70921
1370	59646	70870
1371	59688	70825
1372	59731	70782
1373	59776	70739
1374	59814	70690
1375	59854	70642
1376	59901	70602
1377	59938	70551
1378	59976	70502
1379	60022	70460
1380	60061	70412
1381	60101	70365
1382	60141	70317
1383	60185	70274
1384	60224	70226
1385	60266	70180
1386	60310	70137
1387	60359	70100
1388	60400	70054
1389	60439	70005
1390	60485	69965
1391	60534	69927
1392	60584	69891
1393	60629	69850
1394	60670	69803
1395	60716	69762
1396	60754	69713
1397	60792	69663
1398	60831	69615
1399	60869	69564
1400	60914	69523
1401	60951	69473
1402	60993	69427
1403	61035	69382
1404	61077	69337
1405	61120	69292
1406	61162	69247
1407	61206	69204
1408	61249	69161
1409	61289	69113
1410	61330	69067
1411	61381	69032
1412	61423	68987
1413	61471	68949
1414	61517	68908
1415	61560	68864
1416	61607	68825
1417	61646	68776
1418	61689	68731
1419	61730	68686
1420	61776	68645
1421	61816	68598
1422	61854	68547
1423	61898	68505
1424	61935	68454
1425	61976	68409
1426	62024	68369
1427	62069	68328
1428	62110	68281
1429	62149	68233
1430	62191	68188
1431	62232	68143
1432	62282	68106
1433	62324	68061
1434	62369	68019
1435	62411	67974
1436	62453	67929
1437	62493	67882
1438	62531	67832
1439	62574	67789
1440	62621	67749
1441	62664	67705
1442	62707	67661
1443	62763	67631
1444	62825	67608
1445	62882	67579
1446	62925	67534
1447	62970	67493
1448	63014	67450
1449	63057	67406
1450	63096	67357
1451	63147	67322
1452	63194	67282
1453	63247	67249
1454	63300	67215
1455	63357	67186
1456	63408	67151
1457	63467	67124
1458	63527	67097
1459	63580	67063
1460	63632	67030
1461	63685	66995
1462	63733	66957
1463	63792	66929
1464	63837	66887
1465	63878	66841
1466	63927	66803
1467	63971	66760
1468	64010	66712
1469	64048	66662
1470	64087	66614
1471	64131	66570
1472	64175	66527
1473	64217	66482
1474	64254	66432
